Entity,Code,Year,Share of global annual CO₂ emissions,Share of world population,INFLATION RATE_normalized,EU Index_normalized,Energy Consumption_normalized
India,IND,2004,3.9311275,17.546452,0.0,0.1857710417892878,0.5022770748455472
India,IND,2005,4.006725,17.606094,0.047420780800003726,0.01721600941730432,0.5254285075174786
India,IND,2006,4.22301,17.652466,0.20085843380863105,0.0,0.5840702620652597
India,IND,2007,4.420691,17.68809,0.2579066667001419,0.0257504414361389,0.6305942367062389
India,IND,2008,4.6484056,17.715887,0.4535304200100448,0.6793702177751618,0.6586539266864719
India,IND,2009,5.1192417,17.73827,0.7042566680338307,0.43768393172454384,0.7117710397764079
India,IND,2010,5.036092,17.759579,0.8138318030125374,0.43532960565038253,0.7710905034056029
India,IND,2011,5.124545,17.780277,0.5092095871186039,0.8357121836374337,0.8506021013919104
India,IND,2012,5.5121646,17.795881,0.5653517093466044,1.0,0.8870573884057456
India,IND,2013,5.6626687,17.80726,0.6186905049812683,0.6149941141848145,0.943940279833612
India,IND,2014,6.0574408,17.81229,0.28688573469763995,0.3476309593878752,1.0
Russia,RUS,1971,9.860801,3.4672148,,,
Russia,RUS,1972,9.913961,3.4190702,,,
Russia,RUS,1973,9.812461,3.3720193,,,
Russia,RUS,1974,10.230496,3.327991,,,
Russia,RUS,1975,10.72813,3.2889524,,,
Russia,RUS,1976,10.561944,3.2532113,,,
Russia,RUS,1977,10.620387,3.2191505,,,
Russia,RUS,1978,10.657074,3.185782,,,
Russia,RUS,1979,10.449981,3.1498728,,,
Russia,RUS,1980,10.928355,3.1110976,,,
Russia,RUS,1981,10.982679,3.0721397,,,
Russia,RUS,1982,11.279643,3.034906,,,
Russia,RUS,1983,11.367008,3.00208,,,
Russia,RUS,1984,11.085036,2.9710512,,,
Russia,RUS,1985,11.564275,2.939208,,,
Russia,RUS,1986,11.3974285,2.9099927,,,
Russia,RUS,1987,11.099377,2.8826118,,,
Russia,RUS,1988,11.034342,2.85378,,,
Russia,RUS,1989,10.74658,2.8206327,,,
Russia,RUS,1990,11.147018,2.784063,,,1.0
Russia,RUS,1991,10.360784,2.7459981,0.08463452895393132,0.31693847466273667,0.9258426806752169
Russia,RUS,1992,8.713996,2.7077024,0.08463452895393132,0.31693847466273667,0.6879669800971391
Russia,RUS,1993,8.188001,2.669638,1.0,0.31693847466273667,0.4774824174044607
Russia,RUS,1994,7.1529436,2.6291516,0.3482029433381604,0.410951139326607,0.18491420625137706
Russia,RUS,1995,6.88528,2.586658,0.22129078178510556,0.7505951706155765,0.1378083873079678
